x	y	C
0	124	0
1	124	2
2	124	6
3	124	2
4	124	3
5	124	5
6	124	4
7	124	3
0	125	0
1	125	2
2	125	5
3	125	3
4	125	4
5	125	5
6	125	3
7	125	4
0	126	0
1	126	2
2	126	5
3	126	4
4	126	3
5	126	3
6	126	5
7	126	4
0	127	0
1	127	2
2	127	6
3	127	3
4	127	3
5	127	3
6	127	3
7	127	5
0	128	0
1	128	2
2	128	6
3	128	3
4	128	3
5	128	3
6	128	3
7	128	3
0	129	0
1	129	2
2	129	6
3	129	3
4	129	2
5	129	3
6	129	4
7	129	5
0	130	0
1	130	2
2	130	6
3	130	2
4	130	5
5	130	3
6	130	5
7	130	5
0	131	1
1	131	1
2	131	1
3	131	1
4	131	2
5	131	2
6	131	3
7	131	3
0	132	0
1	132	2
2	132	6
3	132	3
4	132	3
5	132	3
6	132	5
7	132	5
0	133	0
1	133	2
2	133	6
3	133	3
4	133	3
5	133	3
6	133	5
7	133	4
0	134	0
1	134	2
2	134	6
3	134	3
4	134	3
5	134	3
6	134	3
7	134	6
0	135	1
1	135	1
2	135	1
3	135	1
4	135	2
5	135	3
6	135	2
7	135	3
0	136	0
1	136	2
2	136	6
3	136	3
4	136	3
5	136	5
6	136	4
7	136	3
0	137	0
1	137	2
2	137	6
3	137	3
4	137	3
5	137	3
6	137	6
7	137	5
0	138	1
1	138	1
2	138	1
3	138	2
4	138	2
5	138	2
6	138	3
7	138	3
0	139	1
1	139	1
2	139	1
3	139	2
4	139	2
5	139	3
6	139	3
7	139	5
0	140	1
1	140	1
2	140	1
3	140	2
4	140	2
5	140	3
6	140	3
7	140	3
0	141	1
1	141	1
2	141	1
3	141	2
4	141	3
5	141	3
6	141	3
7	141	3
0	142	1
1	142	1
2	142	1
3	142	2
4	142	3
5	142	2
6	142	3
7	142	4
0	143	1
1	143	1
2	143	2
3	143	2
4	143	2
5	143	2
6	143	3
7	143	3
0	144	1
1	144	1
2	144	2
3	144	2
4	144	2
5	144	3
6	144	3
7	144	5
0	145	1
1	145	1
2	145	2
3	145	2
4	145	2
5	145	3
6	145	3
7	145	3
0	146	1
1	146	1
2	146	2
3	146	2
4	146	2
5	146	3
6	146	3
7	146	4
0	147	1
1	147	1
2	147	2
3	147	2
4	147	3
5	147	3
6	147	3
7	147	3
0	148	1
1	148	1
2	148	2
3	148	2
4	148	3
5	148	2
6	148	5
7	148	3
0	149	1
1	149	1
2	149	2
3	149	2
4	149	2
5	149	5
6	149	3
7	149	3
0	150	1
1	150	1
2	150	2
3	150	2
4	150	2
